,donor,sample,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,gabe_label,mni_nlin_x,mni_nlin_y,mni_nlin_z
124,9861,511,4254,18,2427,CX,CA1,"CA1 field, left",65159,125,106,102,-34.3,-29.2,-11.5,H0351.2001,-35.5721760233618,-27.4600386508564,-13.3072984133446
125,9861,512,4255,18,2469,CX,CA2,"CA2 field, left",65162,124,103,102,-33.2,-28.4,-8.3,H0351.2001,-34.2610595088574,-25.6607570029801,-9.629188411365538
126,9861,513,4256,18,2477,CX,CA3,"CA3 field, left",65161,123,103,102,-32.1,-28.3,-8.3,H0351.2001,-33.1256227726785,-25.6621257459127,-9.664862090090859
127,9861,514,4257,18,2435,CX,CA4,"CA4 field, left",65160,122,104,102,-31.1,-28.6,-9.3,H0351.2001,-32.0868335278445,-26.277631273148604,-11.0338327093748
128,9861,515,4258,18,2485,CX,DG,"dentate gyrus, left",40629,122,105,102,-31.1,-28.9,-10.4,H0351.2001,-32.1754586449318,-26.837517354432997,-12.302325848821301
129,9861,517,4251,20,2585,CX,S,"subiculum, left",56094,110,103,110,-18.6,-36.4,-6.4,H0351.2001,-20.008841290474,-33.5471028020233,-7.75218261406793
130,9861,518,4254,20,2505,CX,CA1,"CA1 field, left",56093,122,104,109,-31.3,-35.9,-7.9,H0351.2001,-32.1155567832974,-33.2454806380544,-9.14777466039745
131,9861,519,4255,20,2513,CX,CA2,"CA2 field, left",56092,123,101,108,-32.3,-34.1,-4.9,H0351.2001,-33.0807517828684,-30.9539226655276,-6.213074387612281
132,9861,520,4256,20,2521,CX,CA3,"CA3 field, left",56091,121,101,109,-30.2,-35.1,-4.7,H0351.2001,-30.8448744432525,-31.8516035686872,-5.9862725967047306
133,9861,521,4257,20,2529,CX,CA4,"CA4 field, left",56090,120,103,109,-29.1,-35.6,-6.8,H0351.2001,-29.9351363568056,-32.721599165356004,-8.14197485992266
134,9861,522,4258,20,2537,CX,DG,"dentate gyrus, left",56089,119,103,109,-28.1,-35.6,-6.8,H0351.2001,-28.892878838242694,-32.6885937338698,-8.16112667888701
135,9861,529,4251,16,2517,CX,S,"subiculum, left",82199,116,113,93,-24.6,-21.5,-20.6,H0351.2001,-25.9811836601792,-20.337291289154198,-23.3634954244131
136,9861,530,4254,16,2580,CX,CA1,"CA1 field, left",82198,123,108,93,-31.9,-20.3,-15.4,H0351.2001,-33.3973258359033,-18.263076621703892,-17.6722817153843
137,9861,531,4255,16,2581,CX,CA2,"CA2 field, left",82193,119,104,93,-27.7,-19.1,-11.0,H0351.2001,-29.054975278642807,-16.8921018967925,-13.314913302628
138,9861,532,4256,16,2588,CX,CA3,"CA3 field, left",82196,120,107,93,-28.7,-20.0,-14.2,H0351.2001,-30.08041860690709,-18.137842643488096,-16.773357633403002
